Distance [mm];By [];Bag;#;;;
151,0311878;-0,189401031;-0,453;29;3,507480956;-0,182467258;200,9638555
151,5744654;-0,195905511;-0,453;30;3,520097792;-0,188461234;201,686747
152,1177431;-0,202395408;-0,453;31;3,532714631;-0,19442521;202,4096386
152,6610207;-0,208870727;-0,453;32;3,545331468;-0,200358237;203,1325301
153,2042984;-0,215331472;-0,453;33;3,557948307;-0,206259371;203,8554217
153,747576;-0,221777646;-0,453;34;3,570565144;-0,212127672;204,5783132
154,2908537;-0,228209254;-0,453;35;3,583181983;-0,217962206;205,3012048
154,8341313;-0,234489674;-0,453;36;3,59579882;-0,223762044;206,0240963
155,377409;-0,240598825;-0,453;37;3,608415659;-0,229526263;206,746988
155,9206866;-0,246670529;-0,453;38;3,621032495;-0,235253945;207,4698795
156,4639643;-0,252704787;-0,453;39;3,633649334;-0,24094418;208,1927711
157,0072419;-0,258701599;-0,453;40;3,646266171;-0,24659606;208,9156626
157,5505196;-0,264660968;-0,453;41;3,65888301;-0,252208686;209,6385542
158,0937973;-0,270372382;-0,453;42;3,671499849;-0,257781166;210,3614458
158,6370749;-0,27596349;-0,453;43;3,684116686;-0,26331261;211,0843373
159,1803526;-0,281516803;-0,453;44;3,696733525;-0,268802141;211,807229
159,7236302;-0,287032324;-0,453;45;3,709350362;-0,274248882;212,5301205
160,2669079;-0,292510056;-0,453;46;3,721967201;-0,279651968;213,2530121
160,8101855;-0,297950003;-0,453;47;3,734584037;-0,285010538;213,9759036
161,3534632;-0,303352166;-0,453;48;3,747200876;-0,29032374;214,6987952
161,8967408;-0,308716549;-0,453;49;3,759817713;-0,295590727;215,4216867
162,4400185;-0,314043155;-0,453;50;3,772434552;-0,300810661;216,1445783
162,9832961;-0,319290201;-0,453;51;3,785051389;-0,305982711;216,8674698
163,5265738;-0,324152423;-0,453;52;3,797668228;-0,311106055;217,5903614
164,0698514;-0,329000462;-0,453;53;3,810285065;-0,316179875;218,3132529
164,6131291;-0,333834321;-0,453;54;3,822901904;-0,321203366;219,0361446
165,1564068;-0,338641255;-0,453;55;3,835518743;-0,326175727;219,7590362
165,6996844;-0,342433063;-0,453;56;3,848135579;-0,331096166;220,4819277
166,2429621;-0,346174506;-0,453;57;3,860752418;-0,3359639;221,2048193
166,7862397;-0,349865586;-0,453;58;3,873369255;-0,340778155;221,9277108
167,3295174;-0,353506302;-0,453;59;3,885986094;-0,345538164;222,6506024
167,872795;-0,357096655;-0,453;60;3,898602931;-0,350243168;223,3734939
168,4160727;-0,360636645;-0,453;61;3,91121977;-0,354892421;224,0963856
168,9593503;-0,364126272;-0,453;62;3,923836607;-0,359485181;224,8192771
169,502628;-0,367565536;-0,453;63;3,936453446;-0,364020718;225,5421687
170,0459056;-0,370954439;-0,453;64;3,949070282;-0,368498308;226,2650602
170,5891833;-0,374292979;-0,453;65;3,961687121;-0,37291724;226,9879518
171,1324609;-0,377581158;-0,453;66;3,974303958;-0,37727681;227,7108433
171,6757386;-0,380818976;-0,453;67;3,986920797;-0,381576324;228,4337349
172,2190163;-0,384006432;-0,453;68;3,999537636;-0,385815099;229,1566266
172,7622939;-0,387143528;-0,453;69;4,012154473;-0,389992457;229,8795181
173,3055716;-0,390230263;-0,453;70;4,024771312;-0,394107736;230,6024097
173,8488492;-0,393266639;-0,453;71;4,037388149;-0,39816028;231,3253012
174,3921269;-0,396252654;-0,453;72;4,050004988;-0,402149444;232,0481928
174,9354045;-0,39918831;-0,453;73;4,062621824;-0,406074592;232,7710843
175,4786822;-0,402073606;-0,453;74;4,075238664;-0,409935101;233,4939759
176,0219598;-0,404908544;-0,453;75;4,0878555;-0,413730355;234,2168674
176,5652375;-0,407693123;-0,453;76;4,100472339;-0,417459751;234,939759
177,1085151;-0,410427343;-0,453;77;4,113089176;-0,421122694;235,6626505
177,6517928;-0,413111206;-0,453;78;4,125706015;-0,424718602;236,3855422
178,1950704;-0,415744711;-0,453;79;4,138322852;-0,428246902;237,1084337
178,7383481;-0,418327858;-0,453;80;4,150939691;-0,431707033;237,8313253
179,2816258;-0,420860649;-0,453;81;4,16355653;-0,435098444;238,5542169
179,8249034;-0,423278547;-0,453;82;4,176173367;-0,438420594;239,2771084
180,3681811;-0,420850456;-0,453;83;4,188790206;-0,441672956;240
180,9114587;-0,423098316;-0,453;84;4,201407042;-0,444855011;240,7228915
181,4547364;-0,42535226;-0,453;85;4,214023881;-0,447966253;241,4457832
181,998014;-0,430951768;-0,453;86;4,226640718;-0,451006186;242,1686747
182,5412917;-0,432557746;-0,453;87;4,239257557;-0,453974328;242,8915663
183,0845693;-0,434137025;-0,453;88;4,251874394;-0,456870204;243,6144578
183,627847;-0,43566967;-0,453;89;4,264491233;-0,459693355;244,3373494
184,1711246;-0,437178229;-0,453;90;4,27710807;-0,46244333;245,0602409
184,7144023;-0,438663124;-0,453;91;4,289724909;-0,465119693;245,7831325
185,2576799;-0,440124352;-0,453;92;4,302341745;-0,467722017;246,506024
185,8009576;-0,441561913;-0,453;93;4,314958584;-0,470249888;247,2289157
186,3442353;-0,442975805;-0,453;94;4,327575423;-0,472702903;247,9518073
186,8875129;-0,444390614;-0,453;95;4,34019226;-0,475080672;248,6746988
