"Distance [mm],""Bz []""";;;;
0;;;;
0.19373154697137,;;;;
0.387463093942741,;;;;
0.581194640914111,;;;;
0.774926187885482,;;;;
0.968657734856852,;;;;
96,67204194;-0,316700346;-0,57;209;-0,250630875
96,86577349;-0,307687083;-0,57;210;-0,242393158
97,05950503;-0,29849033;-0,57;211;-0,234113207
97,25323658;-0,287899019;-0,57;212;-0,225792465
97,44696813;-0,277365582;-0,57;213;-0,217432382
97,64069967;-0,266889993;-0,57;214;-0,209034414
97,83443122;-0,256472226;-0,57;215;-0,200600025
98,02816277;-0,246112258;-0,57;216;-0,192130684
98,22189431;-0,235810063;-0,57;217;-0,183627866
98,41562586;-0,225565616;-0,57;218;-0,175093054
98,60935741;-0,215378892;-0,57;219;-0,166527734
98,80308896;-0,205249867;-0,57;220;-0,157933399
98,9968205;-0,192676071;-0,57;221;-0,149311547
99,19055205;-0,177022792;-0,57;222;-0,140663678
99,3842836;-0,161388317;-0,57;223;-0,131991301
99,57801514;-0,145772643;-0,57;224;-0,123295926
99,77174669;-0,130175773;-0,57;225;-0,114579069
99,96547824;-0,114597704;-0,57;226;-0,105842248
100,1592098;-0,099038436;-0,57;227;-0,097086985
100,3529413;-0,083497969;-0,57;228;-0,088314806
100,5466729;-0,067976303;-0,57;229;-0,079527239
100,7404044;-0,052473437;-0,57;230;-0,070725816
100,934136;-0,03698937;-0,57;231;-0,061912069
101,1278675;-0,024171805;-0,57;232;-0,053087536
101,3215991;-0,014330623;-0,57;233;-0,044253752
101,5153306;-0,004469093;-0,57;234;-0,035412258
101,7090622;0,005412771;0,57;1;0,008856922
101,9027937;0,015314954;0,57;2;0,017712301
102,0965253;0,02523744;0,57;3;0,026564594
102,2902568;0,035180215;0,57;4;0,035412258
102,4839883;0,045143264;0,57;5;0,044253752
102,6777199;0,05512657;0,57;6;0,053087536
102,8714514;0,065130119;0,57;7;0,061912069
103,065183;0,075153896;0,57;8;0,070725816
103,2589145;0,085197886;0,57;9;0,079527239
103,4526461;0,095262073;0,57;10;0,088314806
103,6463776;0,105346442;0,57;11;0,097086985
103,8401092;0,115450978;0,57;12;0,105842248
104,0338407;0,125575666;0,57;13;0,114579069
104,2275723;0,135720491;0,57;14;0,123295926
104,4213038;0,145885437;0,57;15;0,131991301
104,6150354;0,156070489;0,57;16;0,140663678
104,8087669;0,166275632;0,57;17;0,149311547
105,0024985;0,176500851;0,57;18;0,157933399
105,19623;0,18674613;0,57;19;0,166527734
105,3899616;0,197011455;0,57;20;0,175093054
105,5836931;0,207296809;0,57;21;0,183627866
105,7774246;0,217602179;0,57;22;0,192130684
105,9711562;0,227927548;0,57;23;0,200600025
106,1648877;0,238272902;0,57;24;0,209034414
106,3586193;0,248638225;0,57;25;0,217432382
106,5523508;0,259023502;0,57;26;0,225792465
106,7460824;0,269428717;0,57;27;0,234113207
106,9398139;0,279853856;0,57;28;0,242393158
